,input,output,gold,prefix
11,"The cure rate in short-term follow-up was similar between the groups, however there is significant uncertainty in this result due to the high heterogeneity.","The cure rate was similar between the two groups; however, there is significant uncertainty in this result due to the high heterogeneity and the low risk of bias.","Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.",Simplify sentence: 
12,We did not find any completed randomised trials.,We did not find any completed randomised trials.,We did not find any completed randomised trials testing these drugs in people with carotid artery dissection.,Simplify sentence: 
13,The rates were 24.5 for the sponge and 10.9 for the diaphragm in the UK trial.,The rates were 24.5 for the sponge and 10.9 for the diaphragm in the UK trial.,"For each 100 women who used the sponge for a year, about 25 got pregnant.",Simplify sentence: 
14,All but one trial were at high risk of bias.,All but one trial was at high risk of bias.,All but one of the trials were of high risk of bias (defects in study design that can lead to arriving at incorrect conclusions with overestimation of benefits and underestimation of harms).,Simplify sentence: 
15,"To assess interventions used in the management of all types of melasma: epidermal, dermal, and mixed.","This systematic review evaluated the best treatments for the management of melasms: epidermal, dermal, or mixed.",Mixed melasma is a combination of epidermal and dermal melasma.,Simplify sentence: 
16,"We included seven trials, involving 735 participants, in this review.",We included seven trials with 735 people in our review.,"This review included seven studies (specifically randomised controlled trials), involving 735 people.",Simplify sentence: 
17,Surgeons and their assistants are especially at risk of exposure to blood due to glove perforations and needle stick injuries during operations.,Surgeons and their assistants are especially at risk of exposure to blood due to glove perforations and needle stick injuries during operations.,This can lead to infection with HIV or other blood-borne viruses.,Simplify sentence: 
18,"Fibrates are a class of drugs characterised by mainly lowering high triglyceride, raising high-density lipoprotein (HDL) cholesterol, and lowering the small dense fraction of low-density lipoprotein (LDL) cholesterol.","Fibrates are mainly reducing the overall blood pressure (HDL cholesterol), and then reducing the small amount of low-density lipoprotein (LDL cholesterol).","Fibrates are a class of drugs that work by positively influencing fats in the the blood, that is lowering triglyceride, raising high-density lipoprotein ('good') cholesterol and lowering the small dense fraction of low-density lipoprotein ('bad') cholesterol.",Simplify sentence: 
19,To assess the effects of anabolic steroids for treating pressure ulcers.,We evaluated the effectiveness of anabolic steroids for treating pressure ulcers.,"We wanted to find out whether anabolic steroids were effective in treating pressure ulcers, and if they had any harmful effects.",Simplify sentence: 
20,More RCTs are required to assess whether brief co-incubation would contribute to a higher live birth rate and a lower miscarriage rate compared to the standard overnight insemination protocol.,More randomised controlled trials are needed to investigate this option.,More studies are needed to assess whether brief co-incubation would contribute to a higher live-birth rate and a lower miscarriage rate compared to the standard overnight insemination protocol.,Simplify sentence: 
21,Laparoscopic box model training appears to improve technical skills compared with no training in trainees with no previous laparoscopic experience.,Training in box model training appears to improve technical skills compared with no training in trainees with no previous laparoscopic experience.,"Box model training appears to decrease the time required to perform a laparoscopic task, improve the accuracy, decrease the errors, and improves the overall performance.",Simplify sentence: 
22,"Nine trials measured blood pressure, six individual trials found reductions in SBP (reductions ranged from -22.0 mmHg (95% confidence interval (CI) -26.3 to -17.7) to -11.5 mmHg (95% CI -21.5 to -1.46)), two trials found no clear evidence of a difference (however, CIs were wide and an increase or decrease in SBP cannot be ruled out), and one trial found an increase in SBP with tai chi (increase 5.2 mmHg, 95% CI 3.73 to 6.67).","However, there is no clear evidence of a difference with the use of tai chi (increases to 6,7 mmHg).","Due to the small number of short-term studies and the variability between them, we were unable to determine conclusively whether or not tai chi was beneficial at reducing cardiovascular risk in healthy adults and adults at increased risk of CVD, although beneficial effects for CVD risk factors were seen in some studies.",Simplify sentence: 
23,"To assess the efficacy and safety of fibrates for the prevention of serious vascular events in people with previous cardiovascular disease (CVD), including coronary heart disease and stroke.",The purpose of this review was to assess the efficacy and safety of fibrates for the prevention of serious vascular events in people with prior cardiovascular disease.,"The aim of this study was to assess the effect of fibrates for the prevention of major events including heart attacks, strokes, and circulatory disease death in people with existing circulatory disease.",Simplify sentence: 
24,Statins had uncertain effects on progression of CKD.,Statins had uncertain effects on progression of CKD.,"Although use of statins did not clearly reduce risks of kidney disease progression, they can be recommended to reduce risks of death and heart-related events in people with early stages of kidney disease.",Simplify sentence: 
25,"We searched the Cochrane Central Register of Controlled Trials (CENTRAL; 2014, Issue 6) in The Cochrane Library, MEDLINE via Ovid SP (1966 to June 2014) and Embase via Ovid SP (1980 to June 2014).",The authors searched the relevant literature in October 2014.,The evidence is current to June 2014.,Simplify sentence: 
26,"Where results were reported for individual participants in 17 studies, 'no worse than mild pain' was achieved by 96% of participants (362/377), and an outcome equivalent to treatment success in 63% (400/638).","When results were reported for individual participants in 17 studies, ""no worse than mild pain"" was achieved by 96% of participants (362/377), and an equal outcome to treatment success in 63%.","More than 6 in 10 participants were very satisfied with the morphine treatment, or considered the result to be very good or excellent.",Simplify sentence: 
27,"We searched the Cochrane Central Register of Controlled Trials (CENTRAL) (the Cochrane Library, 2016, Issue 9), Ovid MEDLINE (1950 to September 2016), Ovid Embase (1974 to September 2016), Science Citation Index Expanded (1970 to September 2016), Chinese Biomedical Literature Database (CBM) (1978 to September 2016), ClinicalTrials.gov (September 2016), and World Health Organization International Clinical Trials Registry Platform (September 2016).",We searched for relevant studies up to September 2016.,"Studies were conducted in the USA, Australia, China, Finland, and Netherlands.",Simplify sentence: 
28,"Based on the available evidence, physical disruption of a fibrin sheath using interventional radiology techniques appears to be equally efficacious as the use of a pharmaceutical thrombolytic agent for the immediate management of dysfunctional catheters (57 participants: RR 0.92, 95% CI 0.80 to 1.07).","Based on the available evidence, interventional radiology techniques appear to be equally effective in the immediate management of dysfunctional catheters (57 participants).",Physical disruption of a fibrin sheath may be equally effective as pharmaceutical thrombolytic agent for immediate management of catheter dysfunction.,Simplify sentence: 
29,"Most studies had a high risk of bias due to poor study design, broad inclusion criteria, low patient numbers and industry involvement.","Most studies had a high risk of bias due to poor study design, broad inclusion criteria, low patient numbers and industry involvement.",The quality of evidence is limited by small study size and high risk of bias.,Simplify sentence: 
30,Available treatments for melasma are unsatisfactory.,Available treatments for melasma are unsatisfactory.,Epidermal melasma is the most superficial with an increase in the skin pigment (melanin) in the top layer of skin (epidermis).,Simplify sentence: 
31,"Pooled analyses for adverse events suggest lower risk of nausea and vomiting with propofol than with sevoflurane (risk ratio (RR) 0.68, 95% CI 0.51 to 0.91, low-quality evidence) or isoflurane (RR 0.45, 95% CI 0.26 to 0.78) and greater risk of haemodynamic changes with propofol than with sevoflurane (RR 1.85, 95% CI 1.07 to 3.17), but no differences in the risk of shivering or pain.","The pooled analyses for adverse events suggest a lower risk of nausea and vomiting than with sevoflurane or isoflurane, but more acute changes with propofol than with sevoflurane, but no differences in the risk of shivering or pain.","Although isoflurane was associated with slower awakening (about three and a half minutes) compared with propofol, researchers found no important differences between propofol and sevoflurane.",Simplify sentence: 
32,Randomised controlled trials that evaluated topical and systemic interventions for melasma.,There was not enough randomised controlled trials available for melasma.,There is inadequate information available at present to determine the best treatment for melasma.,Simplify sentence: 
33,"The review contains only one trial with a total of 212 participants, all with spinal cord injury and open pressure ulcers classed as stage III and IV.","This review found only one trial which included only 212 participants in this review, of which 212 were treated in one study, and all the participants had spinal cord injury and open pressure ulcers classed as stage III and IV.",We found only one trial involving a total of 212 participants.,Simplify sentence: 
34,To assess the effects of specific individual psychological therapies for anorexia nervosa in adults or older adolescents treated in an outpatient setting.,This review sought to assess the effectiveness of personalised individual psychological therapy for adults and older adolescents treated in an outpatient setting.,This review will be of interest to people with lived experience of anorexia nervosa and people involved in their care.,Simplify sentence: 
35,"This review contains a total of 62 included studies, with 4241 participants.","This review includes a total of 62 included studies, with 4241 participants.",We found 62 studies with 4241 participants.,Simplify sentence: 
36,Methodologically rigorous trials are needed to investigate interventions aimed at preventing the uptake of tobacco use amongst Indigenous youth and to assist in bridging the gap between tobacco-related health disparities in Indigenous and non-Indigenous populations.,We are unable to recommend whether tobacco use is a serious health problem for Indigenous and non-Indigenous populations.,This review found that there is not enough published research evaluating programmes aiming to prevent Indigenous youth from starting to use tobacco.,Simplify sentence: 
37,"The focus of treatment has moved to an outpatient setting, and a number of differing psychological therapies are presently used in treatment.",An outpatient setting has been used.,This review aimed to assess evidence about the effects of individual psychological therapy (therapy provided to one person as opposed to a group) delivered in outpatient settings to older adolescents and adults with anorexia nervosa.,Simplify sentence: 
38,"Several are under development, but only one (MSP/RESA, also known as Combination B) has been tested in randomized controlled trials.",We are uncertain about which of these studies could be tested.,"One vaccine for this phase, MSP/RESA (also known as Combination B), has been tested in field trials in Papua New Guinea.",Simplify sentence: 
39,Statin-related effects on stroke and kidney function were found to be uncertain and adverse effects of treatment are incompletely understood.,Statin-related effects were found to be uncertain and adverse effects of treatment are incompletely understood.,"However, the potential side-effects are uncertain, and need further study.",Simplify sentence: 
40,"Indigenous youth in particular commence smoking at an early age, and a disproportionate burden of substance-related morbidity and mortality exists as a result.",Indigenous youth in particular commence smoking at an early age and a disproportionate burden of substance-related morbidity and mortality exists as a result.,The associated harms to health are unacceptable.,Simplify sentence: 
41,We found four small studies that met the inclusion criteria.,We found four studies that met our inclusion criteria.,We found four small studies were identified after an extensive literature search.,Simplify sentence: 
42,"Although carbon dioxide meets most of the requirements for pneumoperitoneum, the absorption of carbon dioxide may be associated with adverse events.",Absorption of carbon dioxide can cause side effects.,"However, use of carbon dioxide may cause heart or lung complications.",Simplify sentence: 
43,We included all randomised clinical trials comparing box model trainers versus no training in surgical trainees with no prior laparoscopic experience.,This review found all trials which included box model training in surgery trainees without prior laparoscopic experience.,We sought to determine whether the box model training is useful in such trainees in terms of improving technical outcomes by performing a thorough search of the medical literature for randomised clinical trials.,Simplify sentence: 
44,"Moderate evidence showed that the fibrate class can be effective in the secondary prevention of composite outcome of non-fatal stroke, non-fatal MI, and vascular death.","Moderate evidence showed that fibrate class can be effective in the secondary prevention of composite outcome of non-fatal stroke, non-fatal MI, and vascular death.","In combination with clofibrate data, quality of evidence was moderate for the composite (non-fatal stroke, non-fatal myocardial infarction (MI), and vascular death) and MI (non-fatal or fatal) outcomes and low for stroke (ischaemic or haemorrhagic, non-fatal or fatal) and death from vascular or any cause during the treatment and scheduled follow-up period.",Simplify sentence: 
45,"Triple-combination cream was significantly more effective at lightening melasma than hydroquinone alone (RR 1.58, 95% CI 1.26 to 1.97) or when compared to the dual combinations of tretinoin and hydroquinone (RR 2.75, 95% CI 1.59 to 4.74), tretinoin and fluocinolone acetonide (RR 14.00, 95% CI 4.43 to 44.25), or hydroquinone and fluocinolone acetonide (RR 10.50, 95% CI 3.85 to 28.60).",The combination treatment was a double combination of tretinoin and hydroquinone.,"Triple-combination cream was significantly more effective at lightening melasma when compared to hydroquinone alone or to dual combinations such as tretinoin and hydroquinone, tretinoin and fluocinolone acetonide, or hydroquinone and fluocinolone acetonide.",Simplify sentence: 
46,Anabolic steroids are considered because of their ability to stimulate protein synthesis and build muscle mass.,Anabolic steroids are considered because of their ability to stimulate protein synthesis and build muscle mass.,"They are thought to promote the growth of skeletal muscle and to restore muscle mass, which could help pressure ulcers to heal.",Simplify sentence: 
47,We searched until January 2016.,We searched for studies on January 2016.,The evidence is current to January 2016.,Simplify sentence: 
48,Remote ischaemic conditioning (RIC) has been developed as a neuroprotective strategy to prevent and treat ischaemic stroke.,This is known as remote ischaemic conditioning (RI).,Remote ischaemic conditioning (RIC) is a strategy to protect and prevent damage to brain tissue by improving its ability to tolerate reduced blood flow.,Simplify sentence: 
49,Statins consistently lower death and major cardiovascular events by 20% in people with CKD not requiring dialysis.,Statins consistently lower death and major cardiovascular events by 20% in people with CKD that not requiring dialysis.,Statin treatment was also found to be effective in reducing cardiac disease and death in people who have CKD but not heart disease.,Simplify sentence: 
50,There was no significant difference in the time taken to complete the task in the remaining three comparisons (reverse alignment versus forward alignment box training; box trainer suturing versus box trainer drills; and single incision versus multiport box model training).,There was no significant difference in the time taken to complete the task in the remaining three comparisons (reverse alignment versus forward alignment box training; box trainer suturing versus box drills; and single incision versus multiport box model training).,There does not appear to be any significant differences in different methods of box model training.,Simplify sentence: 
51,We located 10 RCTs involving 2961 participating surgeons performing an operation in which the use of blunt needles was compared to the use of sharp needles.,We found 10 randomised controlled trials involving 2961 surgical patients.,We located 10 RCTs with 2961 operations in which blunt needles were compared to sharp needles.,Simplify sentence: 
52,"None of these trials assessed or reported data regarding other outcomes, and information was insufficient to show whether a specific antibiotic is better than another.","None of these trials assessed or reported data regarding other outcomes, and information was insufficient to show whether a specific antibiotic is better than another.","None of the other effects of interest to clinicians or patients were measured in the studies, and information was insufficient to show whether any single antibiotic is better than any other.",Simplify sentence: 
53,A malaria vaccine is needed because of the heavy burden of mortality and morbidity due to this disease.,A malaria vaccine is needed because of the heavy burden of mortality and morbidity due to this disease.,Vaccines are widely considered a necessary component for the complete success of malaria control.,Simplify sentence: 
54,It was not clear if these trials were sufficiently powered to detect any clinical differences between formulations or comparator drugs.,It was not clear if these trials were sufficiently powered to detect any clinical differences between formulations or comparator drugs.,This made it difficult to work out whether any one tablet or preparation of oral morphine was better than any other.,Simplify sentence: 
55,We also contacted investigators involved with the identified trials for other published or unpublished trials.,We also contacted investigators involved with the identified trials for other published or unpublished trials.,We also wrote to researchers to look for more trials.,Simplify sentence: 
56,The rates were 24.5 for the sponge and 10.9 for the diaphragm in the UK trial.,The rates were 24.5 for the sponge and 10.9 for the diaphragm in the UK trial.,A U.K. trial found similar results.,Simplify sentence: 
57,"Studies are old, often small, and were largely carried out for registration purposes and therefore were only designed to show equivalence between different formulations.","Studies were old, often small and were carried out for registration purposes and therefore were only designed to show equivalence between different formulations.","The studies were often small, compared many different preparations, and used different study designs.",Simplify sentence: 
58,To assess the benefits and harms of RIC for preventing ischaemic stroke and for treating people with ischaemic stroke and those at risk for ischaemic stroke.,The objective of this review was to assess the benefits and harms of treatment rigourously and with aniselective rhino-thorax for preventing ischaemic stroke and for treating people with ischaemic stroke and those at risk for ischaemic stroke.,"What are the benefits of using remote ischaemic conditioning (a noninvasive physical therapy that involves inflating blood pressure cuffs to reduce blood flow in arms and legs, and then releasing the affected blood around the body) in people with stroke or those at risk of stroke caused by low blood flow?",Simplify sentence: 
59,"In four studies, the use of blunt needles reduced the number of self-reported needle stick injuries with a RR of 0.31 (95% CI 0.14 to 0.68).","In four studies, blunt needles reduced the number of self-reported needle stick injuries.",In four studies the use of blunt needles also reduced the number of self-reported needle stick injuries by 69% (95% confidence interval 14% to 68%).,Simplify sentence: 
60,"Fibrates are a class of drugs characterised by mainly lowering high triglyceride, raising high-density lipoprotein (HDL) cholesterol, and lowering the small dense fraction of low-density lipoprotein (LDL) cholesterol.","Fibrates are a class of drugs characterised by lowering high triglyceride (HDL) and increasing high-density lipoprotein (HDL) cholesterol, and lowering the small density of low-density lipoprotein (LDL) cholesterol.","Successful adjustment of the blood fats in people with disease of their circulatory system could mean these individuals are less likely to have heart attacks, stroke, and die from their circulatory disease.",Simplify sentence: 
61,"Thrombolysis, fibrin sheath disruption and over-the-wire catheter exchange are effective and appropriate therapies for immediately restoring catheter patency in dysfunctional cuffed and tunnelled HD catheters.",We identified three randomised controlled trials conducted to determine the effectiveness and effectiveness of over-the-wire catheter exchange for rapidly restoring cat-hole in damaged catheters.,Thrombolytic therapy was probably better than placebo at restoring catheter function but there was no optimal dose or administration method.,Simplify sentence: 
62,"Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection between the visceral and parietal layers of the tunica vaginalis of the scrotum.",Hydrocoeles are commonly common cystic scrotal abnormalities which are in the skin.,"Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.",Simplify sentence: 
63,"They can be grouped into those including a bleaching agent such as hydroquinone, triple-combination creams (hydroquinone, tretinoin, and fluocinolone acetonide), and combination therapies (hydroquinone cream and glycolic acid peels), as well as less conventional therapies including rucinol, vitamin C iontophoresis, and skin-lightening complexes like Thiospot and Gigawhite.","The two regimens could be grouped into a bleaching agent such as hydroquinone, triple-combination creams (hydroquinone, tretinoin, and fluocinolone acetonide), and combination therapies (hydroquinone cream and glycolic acid peels), as well as less conventional therapies including rucinol, vitamin C iontophoresis, and skin-lightening complexes like Thiospot and Gigawhite.","azelaic acid), topical retinoids (e.g.",Simplify sentence: 
64,Randomised controlled trials of tai chi lasting at least three months involving healthy adults or adults at high risk of CVD.,This systematic review involved two randomised controlled trials of tai chi lasting at least three months.,There were variations in the duration and style of tai chi and the follow-up of the interventions ranged from three to 12 months.,Simplify sentence: 
65,"It is most common in young adult women, in whom the incidence may be increasing.","It is most common in young adult women, in whom the incidence may be increasing.",About one in 10 people with anorexia nervosa is male.,Simplify sentence: 
66,"The safety of nitrous oxide, helium, and room air pneumoperitoneum has yet to be established.","The safety of nitrous oxide, helium, and room air pneumoperitoneum has yet to be established.","Because of the few participants included in the review, the safety of using nitrous oxide, helium, or room air is unknown.",Simplify sentence: 
67,There were no significant differences in the error score between the two groups in any of the comparisons (box trainer suturing versus box trainer drills; single incision versus multiport box model training; Z-maze box training versus U-maze box training).,There were no statistical differences between the two groups in any of the comparisons.,There does not appear to be any significant differences in different methods of box model training.,Simplify sentence: 
68,"Surgical training has traditionally been one of apprenticeship, where the surgical trainee learns to perform surgery under the supervision of a trained surgeon.","Surgical training has traditionally been one of apprenticeship, where the surgical trainee learns to perform surgery under the supervision of a trained surgeon.","Surgical training has traditionally been one of apprenticeship, where the surgical trainee learns to perform the surgery under the supervision of a trained surgeon.",Simplify sentence: 
69,"We included nine RCTs, randomising 519 participants, comparing different gases for establishing pneumoperitoneum: nitrous oxide (three trials), helium (five trials), or room air (one trial) was compared to carbon dioxide.","We included nine randomised controlled trials which compared different gases for establishing pneumoperitoneum: nitrous oxide (three trials), helium (five trials), or room air (one trial).","We identified nine clinical trials with 519 participants, of which three trials (196 participants) compared nitrous oxide (laughing gas) with carbon dioxide, five trials (177 participants) compared helium with carbon dioxide, and one trial (146 participants) compared room air with carbon dioxide.",Simplify sentence: 
70,"The meta-analysis (including all fibrate trials) showed evidence for a protective effect of fibrates primarily compared to placebo for the primary composite outcome of non-fatal stroke, non-fatal myocardial infarction (MI), and vascular death (risk ratio (RR) 0.88, 95% confidence interval (CI) 0.83 to 0.94; participants = 16,064; studies = 12; I2 = 45%, fixed effect).","The evidence showed no benefit from fibrates for stroke, non-fatal myocardial infarction (MI), and vascular death.","Our analysis showed that when compared primarily to placebo, fibrates can be effective for prevention of composite outcome of non-fatal stroke, non-fatal heart attack (myocardial infarction), and death due to circulatory disease.",Simplify sentence: 
71,"To compare the benefits and harms of box model training versus no training, another box model, animal model, or cadaveric model training for surgical trainees with no prior laparoscopic experience.",To evaluate whether box model training to surgery trainees who have no prior experience to the operation is an effective method to evaluate other treatments.,We sought to determine whether the box model training is useful in such trainees in terms of improving technical outcomes by performing a thorough search of the medical literature for randomised clinical trials.,Simplify sentence: 
72,Statins have an important role in primary prevention of cardiovascular events and mortality in people who have CKD.,Statins are an important role in primary prevention of cardiovascular events and death among people with CKD.,"Although use of statins did not clearly reduce risks of kidney disease progression, they can be recommended to reduce risks of death and heart-related events in people with early stages of kidney disease.",Simplify sentence: 
73,"Randomised controlled trials, controlled clinical trials and non-randomised studies (if they reported on outcome stratified by antithrombotic treatment and included at least four patients) of anticoagulants or antiplatelet agents for the treatment of extracranial internal carotid artery dissection.",We found no non-randomised studies with at least four patients.,Blood thinning drugs such as aspirin and anticoagulants might prevent clots forming and so prevent stroke in people with carotid artery dissection.,Simplify sentence: 
74,"The adverse events most commonly reported were mild and transient such as skin irritation, itching, burning, and stinging.","The adverse events most commonly reported were mild and transitorie such as skin irritation, itching, burning, and stinging.","The side-effects reported most frequently by both participants and clinicians were dry, red, and sore skin.",Simplify sentence: 
75,"This is time consuming, costly, and of variable effectiveness.","This is time consuming, costly, and of variable effectiveness.","This is costly, time consuming, and is of variable effectiveness.",Simplify sentence: 
76,No reports described adverse effects associated with the drugs in those trials that reported in this outcome.,No reports described adverse effects associated with the drugs in those trials that reported in this outcome.,"There was no investigation of side effects of antibiotics in these studies, but in the studies where side effects were investigated, no side effects were found.",Simplify sentence: 
77,We searched trial registers and reference lists of reviews for further studies.,We searched for evidence for further studies.,We searched scientific databases for randomised controlled trials (clinical trials where people are allocated at random to one of two or more treatments) looking at the effects of tai chi on adults at high risk of developing CVD.,Simplify sentence: 
78,"Thrombolysis, fibrin sheath disruption and over-the-wire catheter exchange are effective and appropriate therapies for immediately restoring catheter patency in dysfunctional cuffed and tunnelled HD catheters.","With the use of catheters of high permeability in cuffed and tunnelled HD catheters, this can rapidly restore catheter patency in cystic fibrosis.",Catheter exchange may be better than sheath disruption for long-term catheter survival and the use of both techniques together is probably best.,Simplify sentence: 
79,"To assess the safety, benefits, and harms of different gases (i.e.","This review assesses the safety, benefits, and harms of different gases (e.g.",What are the benefits and harms of various gases for insufflation (inflation with gas) of the abdominal (tummy) cavity to allow easier access to organs during laparoscopic (key-hole) abdominal surgery?,Simplify sentence: 
80,The quality of studies evaluating melasma treatments was generally poor and available treatments inadequate.,We concluded that the quality of studies comparing melasma treatments was generally poor and available treatments were inadequate.,"However, many studies were of a poor quality with a only small number of participants.",Simplify sentence: 
81,"Excluding clofibrate trials, as the use of clofibrate was discontinued in 2002 due to safety concerns, the remaining class of fibrates were no longer effective in preventing the primary composite outcome (RR 0.90, 95% CI 0.79 to 1.03; participants = 10,320; studies = 7; I2 = 50%, random effects).",The remaining classes of fibrates were no longer effective in preventing the primary composite outcome.,"However, this beneficial effect relies on the inclusion on data from clofibrates, a drug that was discontinued in 2002 because of safety concerns.",Simplify sentence: 
82,We also searched the Allied and complementary Medicine Database (AMED) and OpenGrey (inception to October 2012) and several Asian databases.,We also searched various Allied and complementary Medicine Databases and OpenGrey (inception to October 2012).,We searched scientific databases for randomised controlled trials (clinical trials where people are allocated at random to one of two or more treatments) looking at the effects of tai chi on adults at high risk of developing CVD.,Simplify sentence: 
83,We included randomised controlled trials (RCTs) comparing RIC with sham RIC or medical management in people with ischaemic stroke or at risk of ischaemic stroke.,"We found only randomised controlled trials in which the outcome for the patients at risk of ischaemic stroke was randomised controlled trials and medical management, or patients of any age.",The studies compared RIC with sham RIC or medical management in people with ischaemic stroke or at risk of ischaemic stroke.,Simplify sentence: 
84,We included randomised controlled trials (RCTs) involving people undergoing orthognathic surgery comparing one regimen of antibiotic prophylaxis with any other regimen or placebo.,We identified 18 randomised controlled trials (RCTs) that compared one regimen of antibiotic prophylaxis with any other regimen or placebo.,"We collected data from all studies addressing this question and summarised them to determine whether antibiotics could prevent infection after surgery, whether this treatment has any adverse effects, whether it reduces the number of days that patients need to be in the hospital and whether it improves overall health status.",Simplify sentence: 
85,Trials tested diverse psychological therapies and comparability was poor.,Trials tested diverse psychological therapies.,The trials used different types of psychological therapies.,Simplify sentence: 
86,"In people with symptomatic intracerebral artery stenosis, recurrent stroke was significantly reduced by RIC (risk ratio (RR) 0.32, 95% confidence interval (CI) 0.12 to 0.83; 2 trials, 182 participants, low-quality evidence).",People with symptomatic intracerebral artery stenosis reported significantly reduced stroke after acupuncture than without acupuncture.,"In people with narrowing of arteries in the brain, RIC may reduce the risk of recurrent stroke.",Simplify sentence: 
87,"The adverse events most commonly reported were mild and transient such as skin irritation, itching, burning, and stinging.","The side effects most frequently reported were mild and transitive such as skin irritation, itching, burning, and stinging.",No serious side-effects were seen.,Simplify sentence: 
88,Further research is required to adequately address the question of the most efficacious and clinically appropriate technique for HD catheter dysfunction.,Further research is required to adequately address the question of the most efficacious and clinically appropriate technique for HD catheter dysfunction.,Further research is required to adequately address the question of the most effective technique for haemodialysis catheter dysfunction.,Simplify sentence: 
89,"The low quality evidence showed that brief co-incubation was associated with a significantly higher clinical pregnancy rate than the overnight insemination protocol (pooled OR 2.36, 95% CI 1.45 to 3.85; P = 0.0006, I2 = 0%).",Low quality evidence showed that brief co-incubation was associated with a significantly higher clinical pregnancy rate than the overnight insemination protocol.,Low quality evidence showed increases in ongoing pregnancy and clinical pregnancy rates with the use of the brief co-incubation protocol.,Simplify sentence: 
90,There was considerable heterogeneity between the studies included in this review and studies were small and at some risk of bias.,There is moderate heterogeneity between the included studies in this review and studies were small and at some risk of bias.,"Due to the small number of short-term studies and the variability between them, we were unable to determine conclusively whether or not tai chi was beneficial at reducing cardiovascular risk in healthy adults and adults at increased risk of CVD, although beneficial effects for CVD risk factors were seen in some studies.",Simplify sentence: 
91,The results suggest that treatment as usual (TAU) when delivered by a non-eating-disorder specialist or similar may be less efficacious than focal psychodynamic therapy.,The results suggested that treatment as usual (TCAU) is slightly less effective than focal psychodynamic therapy or the results suggest that treatment as usual (TAU) when delivered by a non-eating-disorder specialist or similar may be less efficacious than focal psychodynamic therapy.,There was a limited amount of very low-quality evidence to suggest that people might do better when receiving focal psychodynamic therapy compared to no treatment or treatment as usual.,Simplify sentence: 
