,input,output,gold,prefix
12,More RCTs are required to assess whether brief co-incubation would contribute to a higher live birth rate and a lower miscarriage rate compared to the standard overnight insemination protocol.,Des études supplémentaires sont nécessaires pour évaluer si le protocole de co-incubation étroite permettrait d'être plus efficace à la suite d'un taux plus faible d'accouchement vivant et un taux inférieur d'accouchement par rapport aux protocoles standard de fer le sex.,"Des études supplémentaires sont nécessaires pour déterminer si la co-incubation brève pourrait contribuer à un taux plus élevé de naissances vivantes et à un taux plus faible de fausses couches, en comparaison avec le protocole standard d'insémination durant toute la nuit.",Simplify sentence from English to French: 
13,Laparoscopic box model training appears to improve technical skills compared with no training in trainees with no previous laparoscopic experience.,Le formation a été largement conçu pour améliorer les compétences technicales par rapport à l'absence de formation dans les stagiaires souffrant de l'entraînement épinière.,"La formation utilisant des modèles en boite semble diminuer le temps nécessaire à réaliser une tâche laparoscopique, améliorer l'exactitude, réduire les erreurs et améliorer la performance globale.",Simplify sentence from English to French: 
14,"Nine trials measured blood pressure, six individual trials found reductions in SBP (reductions ranged from -22.0 mmHg (95% confidence interval (CI) -26.3 to -17.7) to -11.5 mmHg (95% CI -21.5 to -1.46)), two trials found no clear evidence of a difference (however, CIs were wide and an increase or decrease in SBP cannot be ruled out), and one trial found an increase in SBP with tai chi (increase 5.2 mmHg, 95% CI 3.73 to 6.67).","Certains études ont montré des réductions en la tension artérielle, six essais individuels présentaient une réduction de la tension artérielle, deux essais ont rapporté aucune différence au niveau de la tension artérielle et deux études ont rapporté d'autres améliorations dans la tension artérielle.","En raison du petit nombre d'études à court terme et de la variabilité entre elles, nous ne sommes pas parvenus à déterminer de façon concluante si oui ou non le tai-chi était bénéfique pour réduire le risque cardio-vasculaire chez les adultes en bonne santé et chez les adultes présentant un risque accru de MCV, bien que des effets bénéfiques pour les facteurs de risque cardio-vasculaire ont été observés dans certaines études.",Simplify sentence from English to French: 
15,Statins had uncertain effects on progression of CKD.,Les statines ont un effet indéterminé sur la progression du NCD.,"Bien que l'utilisation des statines n'ait pas réduit clairement les risques de progression de l'insuffisance rénale, elles peuvent être recommandées pour réduire les risques de décès et d'événements cardiaques chez les personnes qui sont aux premiers stades de l'insuffisance rénale.",Simplify sentence from English to French: 
16,Available treatments for melasma are unsatisfactory.,Les traitements disponibles pour le mélanome sont à l'appui à l'innocuité des médicaments utilisés pour le mélanome.,Le mélasma épidermique est le plus superficiel et se caractérise par une augmentation de la pigmentation cutanée (mélanine) dans la couche supérieure de la peau (épiderme).,Simplify sentence from English to French: 
17,Randomised controlled trials that evaluated topical and systemic interventions for melasma.,Cette revue a comparé l'efficacité des interventions topique et systémique pour le mélanoma.,Les informations actuellement disponibles sont insuffisantes pour déterminer le meilleur traitement contre le mélasma.,Simplify sentence from English to French: 
18,Methodologically rigorous trials are needed to investigate interventions aimed at preventing the uptake of tobacco use amongst Indigenous youth and to assist in bridging the gap between tobacco-related health disparities in Indigenous and non-Indigenous populations.,Davantage d'essais sont nécessaires afin d'établir les avantages de l'utilisation de l'accouchement entre les jeunes d'origine indigneuse et non idiomiques.,Cette étude a constaté qu'il n'y a pas assez de recherche publiée sur l'évaluation de programmes visant à dissuader les jeunes autochtones de commencer à consommer du tabac.,Simplify sentence from English to French: 
19,Statin-related effects on stroke and kidney function were found to be uncertain and adverse effects of treatment are incompletely understood.,Il n'y avait aucune preuve de l'effet de la statine sur les risques des complications qui ont été menées dans des pays de l'âge et le développement de l'infarctus d'origine.,"Cependant, les effets secondaires potentiels sont incertains et doivent être davantage étudiés.",Simplify sentence from English to French: 
20,"Indigenous youth in particular commence smoking at an early age, and a disproportionate burden of substance-related morbidity and mortality exists as a result.","Les jeunes indants de débutent à l'âge de naissance précoce, et un et une grave défaillance de la santé et de la mortalité sont associés à l'utilisation et de l'âge de prévenir le travail et en termes de décès.",Les préjudices à la santé qui y sont associés sont inacceptables.,Simplify sentence from English to French: 
21,We included all randomised clinical trials comparing box model trainers versus no training in surgical trainees with no prior laparoscopic experience.,Nous avons inclus les essais évaluant les techniques de box model et l'absence de training dans les études d'entraînement de chirurgie précoce.,Nous avons cherché à déterminer si la formation utilisant des modèles en boite est utile chez ces stagiaires en termes d'amélioration des résultats techniques par une recherche exhaustive de la littérature médicale pour trouver des essais cliniques randomisés.,Simplify sentence from English to French: 
22,"Triple-combination cream was significantly more effective at lightening melasma than hydroquinone alone (RR 1.58, 95% CI 1.26 to 1.97) or when compared to the dual combinations of tretinoin and hydroquinone (RR 2.75, 95% CI 1.59 to 4.74), tretinoin and fluocinolone acetonide (RR 14.00, 95% CI 4.43 to 44.25), or hydroquinone and fluocinolone acetonide (RR 10.50, 95% CI 3.85 to 28.60).","L'éliminer la mélanome était clairement plus efficace que le hydroquinone seule ou dans le cas d'un traitement par triple combination ou par l'association de tretinoin et de fluocinolone, l'éliminer la mélanome et l'association de tretinoin et de fluocinolone.","La crème associant 3 produits était significativement plus efficace pour l’'éclaircissement du mélasma, comparativement à l'hydroquinone seule ou des crèmes associant deux produits comme la trétinoïne et l'hydroquinone, la trétinoïne et l'acétonide de fluocinolone ou encore l'hydroquinone et l'acétonide de fluocinolone.",Simplify sentence from English to French: 
23,We searched until January 2016.,Nous avons effectué des recherches dans différentes bases de données jusqu'en janvier 2016.,Les données probantes sont à jour jusqu'en janvier 2016.,Simplify sentence from English to French: 
24,Remote ischaemic conditioning (RIC) has been developed as a neuroprotective strategy to prevent and treat ischaemic stroke.,L'entraînement ischémique remote (AIN) est une stratégie neuroprotective pour prévenir et traiter l'accident ischémique ischémique.,Le conditionnement ischémique à distance (CID) est une stratégie visant à protéger et à prévenir les lésions des tissus cérébraux en améliorant leur capacité à tolérer un débit sanguin réduit.,Simplify sentence from English to French: 
25,Statins consistently lower death and major cardiovascular events by 20% in people with CKD not requiring dialysis.,"Il existe des différences entre les groupes dans les effets observés dans les taux sanguins, les maladies et les évènements cardiovasculaires.",Le traitement par statines s'est également avéré efficace dans la réduction des maladies et des décès cardiaques chez les personnes atteintes d'IRC sans maladie cardiaque.,Simplify sentence from English to French: 
26,There was no significant difference in the time taken to complete the task in the remaining three comparisons (reverse alignment versus forward alignment box training; box trainer suturing versus box trainer drills; and single incision versus multiport box model training).,Il n'y a aucune différence dans le temps nécessaire pour completer la tâche dans les trois autres comparaisons.,Il ne semble pas y avoir de différences significatives dans les différentes méthodes de formation utilisant des modèles en boite.,Simplify sentence from English to French: 
27,We located 10 RCTs involving 2961 participating surgeons performing an operation in which the use of blunt needles was compared to the use of sharp needles.,Les auteurs de la revue ont trouvé 10 études portant sur 2 261 chirurgiens et réalisé d'autres operations.,Nous avons trouvé 10 ECR recouvrant 2961 opérations dans lesquelles des aiguilles émoussées ont été comparées à des aiguilles pointues.,Simplify sentence from English to French: 
28,We also contacted investigators involved with the identified trials for other published or unpublished trials.,Nous avons également contacté les chercheurs qui identifié les essais pour d'autres essais publiés ou non publiés.,Nous avons également écrit aux chercheurs pour obtenir davantage d'essais.,Simplify sentence from English to French: 
29,The rates were 24.5 for the sponge and 10.9 for the diaphragm in the UK trial.,"Dans la suite, les deux études incluses ont rendu compte de taux de savonage pour les nourrissons du daphragme et un niveau de savonage de savonage dans le deuxième étude.",Un essai organisé au Royaume-Uni a donné des résultats similaires.,Simplify sentence from English to French: 
30,To assess the benefits and harms of RIC for preventing ischaemic stroke and for treating people with ischaemic stroke and those at risk for ischaemic stroke.,Nous avons cherché d'analyser les avantages et les inconvénients des LCR pour prévenir l'AVC ischémique et le traitement des personnes atteintes de l'artère ischémique et des personnes à risque d'AVC ischémique.,"Quels sont les avantages du conditionnement ischémique à distance (une thérapie physique non invasive qui consiste à gonfler les brassards de tensiomètre pour réduire le débit sanguin dans les bras et les jambes, puis à libérer ce sang dans le corps) chez les personnes victimes d'un AVC ou celles à risque d'un AVC causé par un faible débit sanguin ?",Simplify sentence from English to French: 
31,"In four studies, the use of blunt needles reduced the number of self-reported needle stick injuries with a RR of 0.31 (95% CI 0.14 to 0.68).","Dans quatre études, les aiguilles perforées réduisaient les blessures à la suture par le biais de la technique de sensibilisation et la qualité des preuves était faible ou modérée.","Dans quatre études, l'utilisation d'aiguilles émoussées a également réduit de 69% le nombre de piqûres accidentelles signalées par les intéressés (intervalle de confiance à 95% : 14% à 68%).",Simplify sentence from English to French: 
32,"They can be grouped into those including a bleaching agent such as hydroquinone, triple-combination creams (hydroquinone, tretinoin, and fluocinolone acetonide), and combination therapies (hydroquinone cream and glycolic acid peels), as well as less conventional therapies including rucinol, vitamin C iontophoresis, and skin-lightening complexes like Thiospot and Gigawhite.","Les traitements d'hydroquinone ou de crèmes triple combinées de taux de clou épiscopique sont décrits comme une alimentation prématuré, des creams hydratoquinone et des crèmes à base de greffes cléculaires et des traitements et complémentaires ciblés qui peuvent être divisés (la crème hydroquinone et les acides glycoliques (hyroquinone et la mousse de hydroquinone, plus de la crème de hydroquinone), d'autres techniques comprenant la crème hydroquinone ou de la crème de vitamine C, associés à des crèmes non standard (huile de la plupart des preuves ne sont pas exhaustives?","Parmi les traitements conventionnels contre le mélasma, on trouve les crèmes solaires, les crèmes dépigmentantes (comme l'hydroquinone), les crèmes contre l'acné (comme l'acide azélaïque), les rétinoïdes topiques (comme la trétinoïne) et les exfoliants faciaux où une solution acide est utilisée pour éliminer les couches superficielles de la peau (comme les exfoliants à base d'acide glycolique).",Simplify sentence from English to French: 
33,Randomised controlled trials of tai chi lasting at least three months involving healthy adults or adults at high risk of CVD.,L'essai portant sur un traitement de tai chi en cours à trois mois consiste à comparer l'un avec un placebo ou à l'autre pour réduire les effets secondaires chez les adultes et les adultes à risque de PCA.,"Il y avait des variations dans la durée et le mode de tai-chi, et le suivi des interventions allait de 3 à 12 mois.",Simplify sentence from English to French: 
34,There were no significant differences in the error score between the two groups in any of the comparisons (box trainer suturing versus box trainer drills; single incision versus multiport box model training; Z-maze box training versus U-maze box training).,"Il n'y avait aucun changement significatif dans les scores deerreur entre les deux groupes parmi les deux groupes dans aucune des comparaisons (traitement des joueurs pour le routier ; l'incision unife versus de multiporte modèle, formation à mercado de Z-maze boite et formation du routier des participants sous ordinateur (traitement du routier avec moléculaires et un opération à moléculaire multiporte).",Il ne semble pas y avoir de différences significatives dans les différentes méthodes de formation utilisant des modèles en boite.,Simplify sentence from English to French: 
35,"Surgical training has traditionally been one of apprenticeship, where the surgical trainee learns to perform surgery under the supervision of a trained surgeon.","L'admission chirurgical de d'autres étudiants auprès d'une chirurgie, dans laquelle les chirurgiens l'émanant reçoivent une pratique chirurgicale sous supervision d'un chirurgier expérimenté.","La formation chirurgicale est traditionnellement, constituée d'un apprentissage où le stagiaire chirurgien apprend à pratiquer la chirurgie sous la supervision d'un chirurgien formé.",Simplify sentence from English to French: 
36,"To compare the benefits and harms of box model training versus no training, another box model, animal model, or cadaveric model training for surgical trainees with no prior laparoscopic experience.","Cette revue comparait les effets et les inconvénients du programme parboxonographique à l'absence d'intention, à l'autre modèle parboxonographique, à l'autre modèle parboxonographique ou à la formation par robot pour l'adquiescence chirurgicale.",Nous avons cherché à déterminer si la formation utilisant des modèles en boite est utile chez ces stagiaires en termes d'amélioration des résultats techniques par une recherche exhaustive de la littérature médicale pour trouver des essais cliniques randomisés.,Simplify sentence from English to French: 
37,Statins have an important role in primary prevention of cardiovascular events and mortality in people who have CKD.,Les statines sont une affection importante pour la prévention des symptômes de la maladie kératopathique chez les personnes atteintes de MRC.,"Bien que l'utilisation des statines n'ait pas réduit clairement les risques de progression de l'insuffisance rénale, elles peuvent être recommandées pour réduire les risques de décès et d'événements cardiaques chez les personnes qui sont aux premiers stades de l'insuffisance rénale.",Simplify sentence from English to French: 
38,"Randomised controlled trials, controlled clinical trials and non-randomised studies (if they reported on outcome stratified by antithrombotic treatment and included at least four patients) of anticoagulants or antiplatelet agents for the treatment of extracranial internal carotid artery dissection.",Aucune donnée dans le traitement des dispositifs accinant à l'hôpital.,"Les médicaments qui fluidifient le sang, comme l'aspirine et les anticoagulants, pourraient prévenir la formation de caillots et donc prévenir l'accident vasculaire cérébral (AVC) chez les personnes souffrant de dissection de l'artère carotide.",Simplify sentence from English to French: 
39,"The adverse events most commonly reported were mild and transient such as skin irritation, itching, burning, and stinging.","Les effets indésirables les plus couramment signalés chez les femmes était légères et transitoires notamment l'irritation cutanée, l'acouphène et les stousements.","Les effets secondaires rapportés le plus fréquemment par les participants et les médecins étaient une peau sèche, rouge et irritée.",Simplify sentence from English to French: 
40,"This is time consuming, costly, and of variable effectiveness.","Cela coûte et est efficace et coûteuse, à savoir ce plus en coût et la durée de ces interventions.","Cette intervention est coûteuse, se révèle fastidieuse, et a une efficacité variable.",Simplify sentence from English to French: 
41,We searched trial registers and reference lists of reviews for further studies.,Nous avons effectué des recherches dans les bases d'informations de référence pour des études supplémentaires.,Nous avons effectué des recherches dans des bases de données scientifiques pour les essais contrôlés randomisés (essais cliniques où les personnes sont assignées au hasard à l'un des deux ou à plusieurs traitements) qui examinent les effets du tai-chi chez des adultes présentant un risque élevé de développement de MCV.,Simplify sentence from English to French: 
42,The quality of studies evaluating melasma treatments was generally poor and available treatments inadequate.,La qualité des études probant les traitements par mélasma était généralement faible et les traitements disponibles insuffisantes.,"Cependant, de nombreuses études étaient de faible qualité et portaient sur un nombre réduit de patients.",Simplify sentence from English to French: 
43,We also searched the Allied and complementary Medicine Database (AMED) and OpenGrey (inception to October 2012) and several Asian databases.,"La recherche a également été effectuée d'autres bases de données (AMED, greffe ouvertes à août 2012) et plusieurs bases de données des études.",Nous avons effectué des recherches dans des bases de données scientifiques pour les essais contrôlés randomisés (essais cliniques où les personnes sont assignées au hasard à l'un des deux ou à plusieurs traitements) qui examinent les effets du tai-chi chez des adultes présentant un risque élevé de développement de MCV.,Simplify sentence from English to French: 
44,We included randomised controlled trials (RCTs) comparing RIC with sham RIC or medical management in people with ischaemic stroke or at risk of ischaemic stroke.,"Nous avons trouvé les études examinant l'effet des méthodes électriques sur les patients atteints du AVC et atteints de risque de AVC ischémique, pour tous les critères de jugement de la revue.",Les études comparaient le CID au CID factice ou à la prise en charge médicale des personnes victimes d’un AVC ischémique ou à risque d'un AVC ischémique.,Simplify sentence from English to French: 
45,"In people with symptomatic intracerebral artery stenosis, recurrent stroke was significantly reduced by RIC (risk ratio (RR) 0.32, 95% confidence interval (CI) 0.12 to 0.83; 2 trials, 182 participants, low-quality evidence).",Un stroke recurrent n'était significative diminuée par la cicatrice chirurgicale et réduisait des décès au bout de plus (données probantes de très faible qualité).,"Chez les personnes présentant un rétrécissement des artères cérébrales, le CID peut potentiellement diminuer le risque d'AVC récidivants.",Simplify sentence from English to French: 
46,"The adverse events most commonly reported were mild and transient such as skin irritation, itching, burning, and stinging.","Les effets secondaires les plus couramment signalés étaient légers et transitoires telles que des irritations cutanées, de douleurs et des brûlures.",Aucun effet secondaire grave n'a été rapporté.,Simplify sentence from English to French: 
47,"The low quality evidence showed that brief co-incubation was associated with a significantly higher clinical pregnancy rate than the overnight insemination protocol (pooled OR 2.36, 95% CI 1.45 to 3.85; P = 0.0006, I2 = 0%).",Les données étaient de qualité très faible (une majorité des preuves montrent qu'une co-incubation bétroite a permis d'avoir une plus longue durée de grossesse).,Des données de faible qualité ont montré une augmentation des taux de grossesses en cours et de grossesses cliniques avec l'utilisation du protocole de co-incubation brève.,Simplify sentence from English to French: 
48,There was considerable heterogeneity between the studies included in this review and studies were small and at some risk of bias.,"Il y avait un risque considérable de biais, et les études incluses dans ce revue étaient à faible échelle.","En raison du petit nombre d'études à court terme et de la variabilité entre elles, nous ne sommes pas parvenus à déterminer de façon concluante si oui ou non le tai-chi était bénéfique pour réduire le risque cardio-vasculaire chez les adultes en bonne santé et chez les adultes présentant un risque accru de MCV, bien que des effets bénéfiques pour les facteurs de risque cardio-vasculaire ont été observés dans certaines études.",Simplify sentence from English to French: 
49,There are currently no long-term trials examining tai chi for the primary prevention of CVD.,"Actualement, aucune étude concernant la toi chi pour la prévention de l'infection chronique est actuellement en cours.",Des essais de haute qualité et à plus long terme sont nécessaires afin de déterminer l'efficacité du tai-chi pour la prévention des MCV.,Simplify sentence from English to French: 
50,"Cardiovascular disease (CVD) is the most frequent cause of death in people with early stages of chronic kidney disease (CKD), for whom the absolute risk of cardiovascular events is similar to people who have existing coronary artery disease.","Le cardiovasculaire (VCH) est la forme le plus fréquente d'une maladie périphérique de greffe chez les personnes atteintes de la maladie rénale chronique (MRC), pour laquelle la taux d'événements cardiovasculaires est similaire pour celles chez les personnes ayant une maladie rhinodéficale existante.",Le traitement par statines s'est également avéré efficace dans la réduction des maladies et des décès cardiaques chez les personnes atteintes d'IRC sans maladie cardiaque.,Simplify sentence from English to French: 
51,Twenty-five trials contributed data to the quantitative synthesis in this review.,"Vingt cinq essais ont fourni des données à la synthèse quantitative dans cette revue, il existe cinq études incluses dans cette revue.",Nous avons identifié et inclus 25 essais dans la revue.,Simplify sentence from English to French: 
52,"In the larger USA trial, the 12-month cumulative life-table termination rates per 100 women for overall pregnancy were 17.4 for the sponge and 12.8 for the diaphragm.","Dans l'essai les complications de la grossesse réalisées sous l'aspiration et le diaphragme sur 12 mois étaient 174,4 pour les sextants et 87 pour la diaphragme.","Sur 100 femmes utilisant une éponge pendant un an, environ 17 sont devenues enceintes, contre 13 parmi celles qui utilisaient un diaphragme.",Simplify sentence from English to French: 
53,"Cardiovascular disease (CVD) is the most frequent cause of death in people with early stages of chronic kidney disease (CKD), for whom the absolute risk of cardiovascular events is similar to people who have existing coronary artery disease.","Les sujets à risque élevé de décès pourraient être associés à la DQ aiguilles chez les personnes atteintes d'une maladie rénale chronique, en quel cas le risque absolu de fausses couches est similaire à celui du risque d'effets délétères et bénéfiques aiguaux.","Cependant, les effets secondaires potentiels sont incertains et doivent être davantage étudiés.",Simplify sentence from English to French: 
54,"Overall, 14 trials (382 participants) provided data for quantitative comparison of different methods of box training.","Globalement, 14 essais (382 participants) ont fourni des données pour comparer différentes méthodes de formation avec avancé.","Les caractéristiques de l'étude Les essais comparaient la formation utilisant des modèles en boite par rapport à l'absence de formation (16 essais; 464 participants) ou par rapport à différents types de formation utilisant des modèles en boite (14 essais; 382 participants) (certains essais et participants ont été inclus dans les deux comparaisons, car les essais avaient comparé différentes méthodes de formation utilisant des boites par rapport à l'absence de formation). Résultats principaux",Simplify sentence from English to French: 
55,"Three trials reported lipid levels and two found reductions in total cholesterol, LDL-C and triglycerides (total cholesterol reductions ranged from -1.30 mmol/L (95% CI -1.57 to -1.03) to -0.50 mmol/L (95% CI -0.74 to -0.26): LDL-C reductions ranged from -0.76 mmol/L (95% CI -0.93 to -0.59) to -0.59 mmol/L (95% CI -0.80 to -0.38): triglyceride reductions ranged from -0.46 mmol/L (95% CI -0.62 to -0.30) to -0.37 mmol/L (95% CI -0.67 to-0.07)) and increased HDL-C with the intervention (HDL-C increases ranged from 0.61 mmol/L (95% CI 0.51 to 0.71) to 0.16 mmol/L (95% CI 0.02 to 0.30)), while the third study found no clear evidence of a difference between groups on lipid levels.","La réduction des lipides, l'immunoglobuline et la triglycériline pourraient avoir eu moins de moitié pour la prévention des DLL-C.","En raison du petit nombre d'études à court terme et de la variabilité entre elles, nous ne sommes pas parvenus à déterminer de façon concluante si oui ou non le tai-chi était bénéfique pour réduire le risque cardio-vasculaire chez les adultes en bonne santé et chez les adultes présentant un risque accru de MCV, bien que des effets bénéfiques pour les facteurs de risque cardio-vasculaire ont été observés dans certaines études.",Simplify sentence from English to French: 
56,There appears to be no significant differences in the improvement of technical skills between different methods of box model training.,Il semble possible n'y avoir que peu de différence dans les caractéristiques techniques de l'apprentissage de modèle du jeu entre différents méthodologies de formation pour les adultes.,Il ne semble pas y avoir de différences significatives dans les différentes méthodes de formation utilisant des modèles en boite.,Simplify sentence from English to French: 
57,"Cardiovascular disease (CVD) is the most frequent cause of death in people with early stages of chronic kidney disease (CKD), for whom the absolute risk of cardiovascular events is similar to people who have existing coronary artery disease.",Il est également courant de décès chez les personnes présentant des épisodes d'une maladie rénale chronique (MRC) qui augmente le risque de complications cardiovasculaires chez les personnes dans les laurées (RC).,Les adultes atteints d'insuffisance rénale chronique (IRC) ont un risque élevé de développer des complications de maladie cardiaque.On pense que le traitement par statines diminue le cholestérol et réduit les risques de décès et de complications de maladie cardiaque.,Simplify sentence from English to French: 
58,This review highlights the paucity of data and the need for more research in this area.,Les données disponibles et la nécessité de réaliser d'autres recherches dans ce domaine contribuaient à la faible qualité des données disponibles et les difficultés à établir avec certitude si les personnes atteintes de le SEP soient bénéfiques.,Cette étude a constaté qu'il n'y a pas assez de recherche publiée sur l'évaluation de programmes visant à dissuader les jeunes autochtones de commencer à consommer du tabac.,Simplify sentence from English to French: 
59,"Four RCTs compared ultrasound with palpation, and one compared ultrasound with Doppler auditory assistance.",Quatre ECR ont comparé l'échographie avec la palpation et un a comparé l'échographie avec l'aide audio Doppler.,Nous avons trouvé cinq études admissibles : quatre comparant l'échographie à la palpation et une comparant l'échographie à l'assistance auditive Doppler.,Simplify sentence from English to French: 
60,The results of this review are threatened by both risks of systematic errors (bias) and risks of random errors (play of chance).,Les résultats de cette revue sont exposés par des risques d'erreurs systématiques et des risques d'erreurs randomisés (échecs des méthodes de sélection).,"Qualité des preuves Tous, sauf un des essais, présentaient un risque de biais élevé (défauts dans le plan d'étude qui peut conduire à des conclusions erronées avec une surestimation des effets bénéfiques et une sous-estimation des effets nocifs).",Simplify sentence from English to French: 
61,Two trials met the inclusion criteria.,Deux études aient répondu aux critères d'inclusion.,"Dans un grand essai mené aux États-Unis, l'éponge n'a pas aussi bien fonctionné que le diaphragme pour éviter les grossesses.",Simplify sentence from English to French: 
62,"To compare the benefits and harms of box model training versus no training, another box model, animal model, or cadaveric model training for surgical trainees with no prior laparoscopic experience.","Nous avons comparé les avantages et les inconvénients de l'apprentissage par rapport à l'absence d'éducation ou à l'absence d'étude, à un modèle de l'apprentissage au sein de participants ayant une expérience laparoscopique précoce?",L'impact de la formation utilisant des modèles en boite pour les stagiaires en chirurgie sans expérience laparoscopique préalable est inconnu.,Simplify sentence from English to French: 
63,Training using a box model physical simulator - either a video box or a mirrored box - is an option to supplement standard training.,Le travail par un modèle d'exercice physique – peut-être un cirlet vidéo ou une cirlet sur deux par rapport aux programmes standard pour remplir la planification normale à jour.,La formation utilisant des modèles en boite (simulation physique) est une option pour compléter la formation standard de la chirurgie laparoscopique.,Simplify sentence from English to French: 
64,There is high quality evidence that the use of blunt needles appreciably reduces the risk of exposure to blood and bodily fluids for surgeons and their assistants over a range of operations.,Différents essais ont présenté des résultats de haute qualité selon des critères de jugement.,"Nous avons conclu qu'il existe des preuves de qualité élevée que l'utilisation d'aiguilles émoussées réduit sensiblement le risque qu'ont les chirurgiens et leurs assistants de contracter des maladies infectieuses dans toute une gamme d'opérations, de par la réduction du nombre de blessures par piqûre d'aiguille.",Simplify sentence from English to French: 
65,"Cardiovascular disease (CVD) is the most frequent cause of death in people with early stages of chronic kidney disease (CKD), for whom the absolute risk of cardiovascular events is similar to people who have existing coronary artery disease.","L'ECA est la cause la plus fréquente de décès chez les personnes souffrant de maladies cérébrales, qui sont généralement liées à une enfermedance rhumectérienne.","Nous avons constaté que ces questions n'étaient pas bien analysées dans les études que nous avons évaluées, et ces effets ne sont pas bien compris.",Simplify sentence from English to French: 
