,input,output,gold,prefix
31,"Pooled analyses for adverse events suggest lower risk of nausea and vomiting with propofol than with sevoflurane (risk ratio (RR) 0.68, 95% CI 0.51 to 0.91, low-quality evidence) or isoflurane (RR 0.45, 95% CI 0.26 to 0.78) and greater risk of haemodynamic changes with propofol than with sevoflurane (RR 1.85, 95% CI 1.07 to 3.17), but no differences in the risk of shivering or pain.","Pooled analyses suggest a lower risk of nausea and vomiting with propofol than with sevoflurane (risk ratio (RR) 0.68, 95% CI 0.51 to 0.91, low-quality evidence) or isoflurane (RR 0.45, 95% CI 0.26 to 0.78), but there is no difference in the risk of shivering or pain.","Although isoflurane was associated with slower awakening (about three and a half minutes) compared with propofol, researchers found no important differences between propofol and sevoflurane.",Simplify sentence: 
32,Randomised controlled trials that evaluated topical and systemic interventions for melasma.,Randomised controlled trials were used to evaluate interventions for melasma.,There is inadequate information available at present to determine the best treatment for melasma.,Simplify sentence: 
33,"The review contains only one trial with a total of 212 participants, all with spinal cord injury and open pressure ulcers classed as stage III and IV.","The review contains only one trial with a total of 212 participants, all with spinal cord injury and open pressure ulcers classed as stage III and IV.",We found only one trial involving a total of 212 participants.,Simplify sentence: 
34,To assess the effects of specific individual psychological therapies for anorexia nervosa in adults or older adolescents treated in an outpatient setting.,Evaluation of individual psychological therapies for anorexia nervosa in adults or older adolescents.,This review will be of interest to people with lived experience of anorexia nervosa and people involved in their care.,Simplify sentence: 
35,"This review contains a total of 62 included studies, with 4241 participants.","This review contains 62 included studies, with 4241 participants.",We found 62 studies with 4241 participants.,Simplify sentence: 
36,Methodologically rigorous trials are needed to investigate interventions aimed at preventing the uptake of tobacco use amongst Indigenous youth and to assist in bridging the gap between tobacco-related health disparities in Indigenous and non-Indigenous populations.,Interventions to prevent the uptake of tobacco use amongst Indigenous youth are required to explore interventions aimed at preventing the uptake of tobacco use amongst Indigenous youth and to help bridge the gap between tobacco-related health disparities in Indigenous and non-Indigenous populations,This review found that there is not enough published research evaluating programmes aiming to prevent Indigenous youth from starting to use tobacco.,Simplify sentence: 
37,"The focus of treatment has moved to an outpatient setting, and a number of differing psychological therapies are presently used in treatment.","The focus of treatment has moved to an outpatient setting, and a number of differing psychological therapies are presently used in treatment.",This review aimed to assess evidence about the effects of individual psychological therapy (therapy provided to one person as opposed to a group) delivered in outpatient settings to older adolescents and adults with anorexia nervosa.,Simplify sentence: 
38,"Several are under development, but only one (MSP/RESA, also known as Combination B) has been tested in randomized controlled trials.","Several are under development, but only one (MSP/RESA, also known as Combination B) has been tested in randomized controlled trials.","One vaccine for this phase, MSP/RESA (also known as Combination B), has been tested in field trials in Papua New Guinea.",Simplify sentence: 
39,Statin-related effects on stroke and kidney function were found to be uncertain and adverse effects of treatment are incompletely understood.,The effects of statin were unclear but poorly understood.,"However, the potential side-effects are uncertain, and need further study.",Simplify sentence: 
40,"Indigenous youth in particular commence smoking at an early age, and a disproportionate burden of substance-related morbidity and mortality exists as a result.","Indigenous youth in particular begin smoking at an early age, and a disproportionate burden of substance-related morbidity and mortality exists as a result.",The associated harms to health are unacceptable.,Simplify sentence: 
41,We found four small studies that met the inclusion criteria.,Four studies met the inclusion criteria.,We found four small studies were identified after an extensive literature search.,Simplify sentence: 
42,"Although carbon dioxide meets most of the requirements for pneumoperitoneum, the absorption of carbon dioxide may be associated with adverse events.",the absorption of carbon dioxide may be associated with adverse events.,"However, use of carbon dioxide may cause heart or lung complications.",Simplify sentence: 
43,We included all randomised clinical trials comparing box model trainers versus no training in surgical trainees with no prior laparoscopic experience.,Box model trainers are more selective in laparoscopic training than no training in surgery trainees with no prior experience.,We sought to determine whether the box model training is useful in such trainees in terms of improving technical outcomes by performing a thorough search of the medical literature for randomised clinical trials.,Simplify sentence: 
44,"Moderate evidence showed that the fibrate class can be effective in the secondary prevention of composite outcome of non-fatal stroke, non-fatal MI, and vascular death.","Moderate evidence showed that the fibrate class can be effective in the secondary prevention of composite outcome of non-fatal stroke, non-fatal MI, and vascular death.","In combination with clofibrate data, quality of evidence was moderate for the composite (non-fatal stroke, non-fatal myocardial infarction (MI), and vascular death) and MI (non-fatal or fatal) outcomes and low for stroke (ischaemic or haemorrhagic, non-fatal or fatal) and death from vascular or any cause during the treatment and scheduled follow-up period.",Simplify sentence: 
45,"Triple-combination cream was significantly more effective at lightening melasma than hydroquinone alone (RR 1.58, 95% CI 1.26 to 1.97) or when compared to the dual combinations of tretinoin and hydroquinone (RR 2.75, 95% CI 1.59 to 4.74), tretinoin and fluocinolone acetonide (RR 14.00, 95% CI 4.43 to 44.25), or hydroquinone and fluocinolone acetonide (RR 10.50, 95% CI 3.85 to 28.60).","Triple-combination cream was significantly more effective at lightening melasma than hydroquinone alone (RR 1.58, 95% CI 1.26 to 1.987) or when compared to the dual combinations of tretinoin and hydroquinone (RR 2.75, 95% CI 1.59 to 4.74), tretinoin and fluocinolone acetonide (RR 14.00, 95% CI 4.43 to 44.25), or hydroquinone and fluocinolone acetonide (RR 10.50, 95% CI 3.85 to 28.60).","Triple-combination cream was significantly more effective at lightening melasma when compared to hydroquinone alone or to dual combinations such as tretinoin and hydroquinone, tretinoin and fluocinolone acetonide, or hydroquinone and fluocinolone acetonide.",Simplify sentence: 
46,Anabolic steroids are considered because of their ability to stimulate protein synthesis and build muscle mass.,steroids can increase the activity of the human skeletal system.,"They are thought to promote the growth of skeletal muscle and to restore muscle mass, which could help pressure ulcers to heal.",Simplify sentence: 
47,We searched until January 2016.,We searched until January 2016.,The evidence is current to January 2016.,Simplify sentence: 
48,Remote ischaemic conditioning (RIC) has been developed as a neuroprotective strategy to prevent and treat ischaemic stroke.,Remote ischaemic conditioning (RIC) is a strategy to prevent and treat ischaemic stroke.,Remote ischaemic conditioning (RIC) is a strategy to protect and prevent damage to brain tissue by improving its ability to tolerate reduced blood flow.,Simplify sentence: 
49,Statins consistently lower death and major cardiovascular events by 20% in people with CKD not requiring dialysis.,Statins consistently lower death and major cardiovascular events by 20% in people with CKD not requiring dialysis.,Statin treatment was also found to be effective in reducing cardiac disease and death in people who have CKD but not heart disease.,Simplify sentence: 
50,There was no significant difference in the time taken to complete the task in the remaining three comparisons (reverse alignment versus forward alignment box training; box trainer suturing versus box trainer drills; and single incision versus multiport box model training).,"This was the only time difference with the third comparison (reverse alignment versus forward alignment box training), so time to complete the task was no significant difference.",There does not appear to be any significant differences in different methods of box model training.,Simplify sentence: 
51,We located 10 RCTs involving 2961 participating surgeons performing an operation in which the use of blunt needles was compared to the use of sharp needles.,RCTs have a number of procedures where blunt needle use is compared to sharp needle use.,We located 10 RCTs with 2961 operations in which blunt needles were compared to sharp needles.,Simplify sentence: 
52,"None of these trials assessed or reported data regarding other outcomes, and information was insufficient to show whether a specific antibiotic is better than another.",Trials cannot provide quality data regarding other outcomes.,"None of the other effects of interest to clinicians or patients were measured in the studies, and information was insufficient to show whether any single antibiotic is better than any other.",Simplify sentence: 
53,A malaria vaccine is needed because of the heavy burden of mortality and morbidity due to this disease.,malaria is a major threat to the people of this country.,Vaccines are widely considered a necessary component for the complete success of malaria control.,Simplify sentence: 
54,It was not clear if these trials were sufficiently powered to detect any clinical differences between formulations or comparator drugs.,These trials are likely to produce clinical differences.,This made it difficult to work out whether any one tablet or preparation of oral morphine was better than any other.,Simplify sentence: 
55,We also contacted investigators involved with the identified trials for other published or unpublished trials.,We contacted investigators involved with the identified trials for other published or unpublished trials.,We also wrote to researchers to look for more trials.,Simplify sentence: 
56,The rates were 24.5 for the sponge and 10.9 for the diaphragm in the UK trial.,The sponge was used in a UK trial for cleaning and is capable of cleaning much cleaner than the diaphragm.,A U.K. trial found similar results.,Simplify sentence: 
57,"Studies are old, often small, and were largely carried out for registration purposes and therefore were only designed to show equivalence between different formulations.",Old studies were only designed to show equivalence between different formulations.,"The studies were often small, compared many different preparations, and used different study designs.",Simplify sentence: 
58,To assess the benefits and harms of RIC for preventing ischaemic stroke and for treating people with ischaemic stroke and those at risk for ischaemic stroke.,The purpose of this project is to assess the benefits and harms of RIC for preventing ischaemic stroke and for treating people with ischaemic stroke and those at risk for ischaemic stroke.,"What are the benefits of using remote ischaemic conditioning (a noninvasive physical therapy that involves inflating blood pressure cuffs to reduce blood flow in arms and legs, and then releasing the affected blood around the body) in people with stroke or those at risk of stroke caused by low blood flow?",Simplify sentence: 
59,"In four studies, the use of blunt needles reduced the number of self-reported needle stick injuries with a RR of 0.31 (95% CI 0.14 to 0.68).","In four studies, the use of blunt needles reduced the number of self-reported needle stick injuries with a RR of 0.31 (95% CI 0.14 to 0.68).",In four studies the use of blunt needles also reduced the number of self-reported needle stick injuries by 69% (95% confidence interval 14% to 68%).,Simplify sentence: 
60,"Fibrates are a class of drugs characterised by mainly lowering high triglyceride, raising high-density lipoprotein (HDL) cholesterol, and lowering the small dense fraction of low-density lipoprotein (LDL) cholesterol.","Fibrates are a class of drugs characterised by mainly lowering high triglyceride, raising high-density lipoprotein (HDL) cholesterol, and lowering the small dense fraction of low-density lipoprotein (LDL) cholesterol.","Successful adjustment of the blood fats in people with disease of their circulatory system could mean these individuals are less likely to have heart attacks, stroke, and die from their circulatory disease.",Simplify sentence: 
61,"Thrombolysis, fibrin sheath disruption and over-the-wire catheter exchange are effective and appropriate therapies for immediately restoring catheter patency in dysfunctional cuffed and tunnelled HD catheters.","Thrombolysis, fibrin sheath disruption and over-the-wire catheter exchange are effective and appropriate therapies for immediately restoring catheter patency in dysfunctional cuffed and tunnelled HD catheters.",Thrombolytic therapy was probably better than placebo at restoring catheter function but there was no optimal dose or administration method.,Simplify sentence: 
62,"Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection between the visceral and parietal layers of the tunica vaginalis of the scrotum.","Hydrocoeles are cystic scrotal abnormalities, described as a fluid-filled collection between the visceral and parietal layers of the tunica vaginalis of the scrotum.","Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.",Simplify sentence: 
63,"They can be grouped into those including a bleaching agent such as hydroquinone, triple-combination creams (hydroquinone, tretinoin, and fluocinolone acetonide), and combination therapies (hydroquinone cream and glycolic acid peels), as well as less conventional therapies including rucinol, vitamin C iontophoresis, and skin-lightening complexes like Thiospot and Gigawhite.","They can be grouped into those including a bleaching agent such as hydroquinone, triple-combination creams (hydroquinone, tretinoin, and fluocinolone acetonide), and combination therapies (hydroquinone cream and glycolic acid peels), as well as less conventional therapies including rucinol, vitamin C iontophoresis, and skin-lightening complexes like Thiospot and Gigawhite.","azelaic acid), topical retinoids (e.g.",Simplify sentence: 
64,Randomised controlled trials of tai chi lasting at least three months involving healthy adults or adults at high risk of CVD.,Tai chi has a high risk of cardiovascular disease.,There were variations in the duration and style of tai chi and the follow-up of the interventions ranged from three to 12 months.,Simplify sentence: 
65,"It is most common in young adult women, in whom the incidence may be increasing.",Alopecia may affect men over 20 years.,About one in 10 people with anorexia nervosa is male.,Simplify sentence: 
66,"The safety of nitrous oxide, helium, and room air pneumoperitoneum has yet to be established.",nitrous oxide and oxygen have yet to be established.,"Because of the few participants included in the review, the safety of using nitrous oxide, helium, or room air is unknown.",Simplify sentence: 
67,There were no significant differences in the error score between the two groups in any of the comparisons (box trainer suturing versus box trainer drills; single incision versus multiport box model training; Z-maze box training versus U-maze box training).,"Box training invariably had a higher error score than box drills because of the very low errors, and there were significant differences in error scores for other types of comparisons.",There does not appear to be any significant differences in different methods of box model training.,Simplify sentence: 
68,"Surgical training has traditionally been one of apprenticeship, where the surgical trainee learns to perform surgery under the supervision of a trained surgeon.",Apprenticeships have a very similar meaning.,"Surgical training has traditionally been one of apprenticeship, where the surgical trainee learns to perform the surgery under the supervision of a trained surgeon.",Simplify sentence: 
69,"We included nine RCTs, randomising 519 participants, comparing different gases for establishing pneumoperitoneum: nitrous oxide (three trials), helium (five trials), or room air (one trial) was compared to carbon dioxide.","Nitrous oxide and room air were compared to carbon dioxide for establishing a pneumoperitoneum, and two RCTs were compared to three trials of pneumoperitoneum.","We identified nine clinical trials with 519 participants, of which three trials (196 participants) compared nitrous oxide (laughing gas) with carbon dioxide, five trials (177 participants) compared helium with carbon dioxide, and one trial (146 participants) compared room air with carbon dioxide.",Simplify sentence: 
70,"The meta-analysis (including all fibrate trials) showed evidence for a protective effect of fibrates primarily compared to placebo for the primary composite outcome of non-fatal stroke, non-fatal myocardial infarction (MI), and vascular death (risk ratio (RR) 0.88, 95% confidence interval (CI) 0.83 to 0.94; participants = 16,064; studies = 12; I2 = 45%, fixed effect).","A meta-analysis of the ischemic response of fibrates to ischemic cardiomyopathy in the primary outcome of non-fatal stroke, non-fatal myocardial infarction, and vascular death showed evidence for a protective effect of fibrates primarily compared to placebo for the primary composite outcome of non-fatal stroke, non-fatal myocardial infarction, and vascular death.","Our analysis showed that when compared primarily to placebo, fibrates can be effective for prevention of composite outcome of non-fatal stroke, non-fatal heart attack (myocardial infarction), and death due to circulatory disease.",Simplify sentence: 
71,"To compare the benefits and harms of box model training versus no training, another box model, animal model, or cadaveric model training for surgical trainees with no prior laparoscopic experience.",Box model training is a good thing for surgeons with no laparoscopic training experience.,We sought to determine whether the box model training is useful in such trainees in terms of improving technical outcomes by performing a thorough search of the medical literature for randomised clinical trials.,Simplify sentence: 
72,Statins have an important role in primary prevention of cardiovascular events and mortality in people who have CKD.,Statins are very important for primary prevention of cardiovascular events and mortality in people who have CKD.,"Although use of statins did not clearly reduce risks of kidney disease progression, they can be recommended to reduce risks of death and heart-related events in people with early stages of kidney disease.",Simplify sentence: 
73,"Randomised controlled trials, controlled clinical trials and non-randomised studies (if they reported on outcome stratified by antithrombotic treatment and included at least four patients) of anticoagulants or antiplatelet agents for the treatment of extracranial internal carotid artery dissection.","randomised controlled trials, controlled clinical trials and non-randomised studies (if they reported on outcome stratified by antithrombotic treatment and included at least four patients) of anticoagulants or antiplatelet agents for the treatment of extracranial internal carotid artery dissection",Blood thinning drugs such as aspirin and anticoagulants might prevent clots forming and so prevent stroke in people with carotid artery dissection.,Simplify sentence: 
74,"The adverse events most commonly reported were mild and transient such as skin irritation, itching, burning, and stinging.",There were only few that were considered minor.,"The side-effects reported most frequently by both participants and clinicians were dry, red, and sore skin.",Simplify sentence: 
75,"This is time consuming, costly, and of variable effectiveness.",The cost of this project was high.,"This is costly, time consuming, and is of variable effectiveness.",Simplify sentence: 
76,No reports described adverse effects associated with the drugs in those trials that reported in this outcome.,The drugs that were studied did not have adverse effects.,"There was no investigation of side effects of antibiotics in these studies, but in the studies where side effects were investigated, no side effects were found.",Simplify sentence: 
77,We searched trial registers and reference lists of reviews for further studies.,We searched trial registers and reference lists of reviews for further studies.,We searched scientific databases for randomised controlled trials (clinical trials where people are allocated at random to one of two or more treatments) looking at the effects of tai chi on adults at high risk of developing CVD.,Simplify sentence: 
78,"Thrombolysis, fibrin sheath disruption and over-the-wire catheter exchange are effective and appropriate therapies for immediately restoring catheter patency in dysfunctional cuffed and tunnelled HD catheters.","Thrombolysis, fibrin sheath disruption and over-the-wire catheter exchange are effective and appropriate therapies for immediately restoring catheter patency in dysfunctional cuffed and tunnelled HD catheters.",Catheter exchange may be better than sheath disruption for long-term catheter survival and the use of both techniques together is probably best.,Simplify sentence: 
79,"To assess the safety, benefits, and harms of different gases (i.e.","to assess the security, benefits, and harms of different gases (i.e.",What are the benefits and harms of various gases for insufflation (inflation with gas) of the abdominal (tummy) cavity to allow easier access to organs during laparoscopic (key-hole) abdominal surgery?,Simplify sentence: 
80,The quality of studies evaluating melasma treatments was generally poor and available treatments inadequate.,quality of studies were generally poor and available treatments inadequate.,"However, many studies were of a poor quality with a only small number of participants.",Simplify sentence: 
81,"Excluding clofibrate trials, as the use of clofibrate was discontinued in 2002 due to safety concerns, the remaining class of fibrates were no longer effective in preventing the primary composite outcome (RR 0.90, 95% CI 0.79 to 1.03; participants = 10,320; studies = 7; I2 = 50%, random effects).","The use of clofibrate in patients with a primary composite outcome (RR = 0.90, 95% CI 0.79 to 1.03; participants = 10,320; studies = 7; I2 = 50%, random effects) was discontinued as the use of clofibrate was discontinued in 2002 due to safety concerns.","However, this beneficial effect relies on the inclusion on data from clofibrates, a drug that was discontinued in 2002 because of safety concerns.",Simplify sentence: 
82,We also searched the Allied and complementary Medicine Database (AMED) and OpenGrey (inception to October 2012) and several Asian databases.,We also searched the Allied and complementary Medicine Database (AMED) and OpenGrey (inception to October 2012) and several Asian databases.,We searched scientific databases for randomised controlled trials (clinical trials where people are allocated at random to one of two or more treatments) looking at the effects of tai chi on adults at high risk of developing CVD.,Simplify sentence: 
83,We included randomised controlled trials (RCTs) comparing RIC with sham RIC or medical management in people with ischaemic stroke or at risk of ischaemic stroke.,Our results included randomised controlled trials (RCTs) of the use of RIC for stroke prevention in patients with ischaemic stroke or at risk of ischaemic stroke.,The studies compared RIC with sham RIC or medical management in people with ischaemic stroke or at risk of ischaemic stroke.,Simplify sentence: 
84,We included randomised controlled trials (RCTs) involving people undergoing orthognathic surgery comparing one regimen of antibiotic prophylaxis with any other regimen or placebo.,We included randomised controlled trials (RCTs) involving people undergoing orthognathic surgery comparing one regimen of antibiotic prophylaxis with any other regimen or placebo.,"We collected data from all studies addressing this question and summarised them to determine whether antibiotics could prevent infection after surgery, whether this treatment has any adverse effects, whether it reduces the number of days that patients need to be in the hospital and whether it improves overall health status.",Simplify sentence: 
85,Trials tested diverse psychological therapies and comparability was poor.,A trial of psychologists failed in determining the effectiveness of a treatment.,The trials used different types of psychological therapies.,Simplify sentence: 
86,"In people with symptomatic intracerebral artery stenosis, recurrent stroke was significantly reduced by RIC (risk ratio (RR) 0.32, 95% confidence interval (CI) 0.12 to 0.83; 2 trials, 182 participants, low-quality evidence).",Recurrent stroke was significantly reduced by RIC for people with symptomatic intracerebral artery stenosis in people with symptomsatic intracerebral artery stenosis.,"In people with narrowing of arteries in the brain, RIC may reduce the risk of recurrent stroke.",Simplify sentence: 
87,"The adverse events most commonly reported were mild and transient such as skin irritation, itching, burning, and stinging.","skin irritation, itching, burning, and stinging are common.",No serious side-effects were seen.,Simplify sentence: 
