pair_ID|pair_UID|sent_0_idx|sent_0|sent_1_idx|sent_1|aligning_method|ins|del|sub|ela|SB|tf-idf|Jaccard
ID-article0-1-1-0-0-0-6|UID|article0-1-1-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection between the visceral and parietal layers of the tunica vaginalis of the scrotum.|article0-0-0-6|Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.|3|-2|-2|-2|0|0.0028077997267246246|0.0|0.06818181818181818
ID-article0-1-1-0-0-0-7|UID|article0-1-1-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection between the visceral and parietal layers of the tunica vaginalis of the scrotum.|article0-0-0-7|Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.|3|-2|-2|-2|0|-0.0035556601360440254|0.0|0.11764705882352941
ID-article0-1-1-1-0-0-0|UID|article0-1-1-1|There are two approaches for treatment of hydrocoeles: surgical open hydrocoelectomy and aspiration followed by sclerotherapy.|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|3|-2|-2|-2|0|0.5238614082336426|0.0|0.06896551724137931
ID-article0-1-1-1-0-0-1|UID|article0-1-1-1|There are two approaches for treatment of hydrocoeles: surgical open hydrocoelectomy and aspiration followed by sclerotherapy.|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|1|0|0|0|0|0.663765549659729|0.1468376|0.05555555555555555
ID-article0-1-1-1-0-0-2|UID|article0-1-1-1|There are two approaches for treatment of hydrocoeles: surgical open hydrocoelectomy and aspiration followed by sclerotherapy.|article0-0-0-2|The aim of this review is to compare these two types of treatment.|3|-2|-2|-2|0|0.3885066509246826|0.0|0.12
ID-article0-1-1-1-0-0-3|UID|article0-1-1-1|There are two approaches for treatment of hydrocoeles: surgical open hydrocoelectomy and aspiration followed by sclerotherapy.|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.1148076206445694|0.0|0.0
ID-article0-1-1-1-0-0-4|UID|article0-1-1-1|There are two approaches for treatment of hydrocoeles: surgical open hydrocoelectomy and aspiration followed by sclerotherapy.|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|0.05812042951583862|0.0|0.058823529411764705
ID-article0-1-1-1-0-0-5|UID|article0-1-1-1|There are two approaches for treatment of hydrocoeles: surgical open hydrocoelectomy and aspiration followed by sclerotherapy.|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|0.22547100484371185|0.0|0.05714285714285714
ID-article0-1-1-1-0-0-6|UID|article0-1-1-1|There are two approaches for treatment of hydrocoeles: surgical open hydrocoelectomy and aspiration followed by sclerotherapy.|article0-0-0-6|Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.|3|-2|-2|-2|0|0.3166026473045349|0.18343574|0.07894736842105263
ID-article0-1-1-1-0-0-7|UID|article0-1-1-1|There are two approaches for treatment of hydrocoeles: surgical open hydrocoelectomy and aspiration followed by sclerotherapy.|article0-0-0-7|Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.|3|-2|-2|-2|0|0.20058336853981018|0.0|0.0625
ID-article0-1-2-0-0-0-0|UID|article0-1-2-0|Objectives|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|3|-2|-2|-2|0|0.04541885852813721|0.0|0.0
ID-article0-1-2-0-0-0-1|UID|article0-1-2-0|Objectives|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|3|-2|-2|-2|0|0.09632153809070587|0.0|0.0
ID-article0-1-2-0-0-0-2|UID|article0-1-2-0|Objectives|article0-0-0-2|The aim of this review is to compare these two types of treatment.|3|-2|-2|-2|0|0.07866297662258148|0.0|0.0
ID-article0-1-2-0-0-0-3|UID|article0-1-2-0|Objectives|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.11852916330099106|0.0|0.0
ID-article0-1-2-0-0-0-4|UID|article0-1-2-0|Objectives|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|0.08946364372968674|0.0|0.0
ID-article0-1-2-0-0-0-5|UID|article0-1-2-0|Objectives|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|0.04223616421222687|0.0|0.0
ID-article0-1-2-0-0-0-6|UID|article0-1-2-0|Objectives|article0-0-0-6|Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.|3|-2|-2|-2|0|0.022165853530168533|0.0|0.0
ID-article0-1-2-0-0-0-7|UID|article0-1-2-0|Objectives|article0-0-0-7|Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.|3|-2|-2|-2|0|0.006821854505687952|0.0|0.0
ID-article0-1-3-0-0-0-0|UID|article0-1-3-0|We compared the benefits and harms of aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|3|-2|-2|-2|0|0.5077259540557861|0.0|0.07407407407407407
ID-article0-1-3-0-0-0-1|UID|article0-1-3-0|We compared the benefits and harms of aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|3|-2|-2|-2|0|0.5903293490409851|0.0|0.058823529411764705
ID-article0-1-3-0-0-0-2|UID|article0-1-3-0|We compared the benefits and harms of aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-2|The aim of this review is to compare these two types of treatment.|1|0|0|0|0|0.35455793142318726|0.0|0.08333333333333333
ID-article0-1-3-0-0-0-3|UID|article0-1-3-0|We compared the benefits and harms of aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.09292204678058624|0.0021653431|0.04
ID-article0-1-3-0-0-0-4|UID|article0-1-3-0|We compared the benefits and harms of aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|0.15127979218959808|0.0|0.0967741935483871
ID-article0-1-3-0-0-0-5|UID|article0-1-3-0|We compared the benefits and harms of aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|0.28536123037338257|0.0|0.06060606060606061
ID-article0-1-3-0-0-0-6|UID|article0-1-3-0|We compared the benefits and harms of aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-6|Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.|3|-2|-2|-2|0|0.42744180560112|0.31689858|0.11428571428571428
ID-article0-1-3-0-0-0-7|UID|article0-1-3-0|We compared the benefits and harms of aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-7|Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.|3|-2|-2|-2|0|0.18701107800006866|0.0026096655|0.08888888888888889
ID-article0-1-4-0-0-0-0|UID|article0-1-4-0|Search methods|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|3|-2|-2|-2|0|-0.02220270410180092|0.0|0.0
ID-article0-1-4-0-0-0-1|UID|article0-1-4-0|Search methods|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|3|-2|-2|-2|0|-0.007041929289698601|0.0|0.0
ID-article0-1-4-0-0-0-2|UID|article0-1-4-0|Search methods|article0-0-0-2|The aim of this review is to compare these two types of treatment.|3|-2|-2|-2|0|0.07615786790847778|0.0|0.0
ID-article0-1-4-0-0-0-3|UID|article0-1-4-0|Search methods|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.3100726008415222|0.0|0.07692307692307693
ID-article0-1-4-0-0-0-4|UID|article0-1-4-0|Search methods|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|0.010898545384407043|0.0|0.0
ID-article0-1-4-0-0-0-5|UID|article0-1-4-0|Search methods|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|-0.059781163930892944|0.0|0.0
ID-article0-1-4-0-0-0-6|UID|article0-1-4-0|Search methods|article0-0-0-6|Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.|3|-2|-2|-2|0|-0.040982265025377274|0.0|0.0
ID-article0-1-4-0-0-0-7|UID|article0-1-4-0|Search methods|article0-0-0-7|Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.|3|-2|-2|-2|0|0.029103532433509827|0.0|0.0
ID-article0-1-5-0-0-0-0|UID|article0-1-5-0|We searched the Cochrane Renal Group's Specialised Register to 2 August 2014 through contact with the Trials' Search Co-ordinator using search terms relevant to this review.|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|3|-2|-2|-2|0|0.08035431802272797|0.0|0.02564102564102564
ID-article0-1-5-0-0-0-1|UID|article0-1-5-0|We searched the Cochrane Renal Group's Specialised Register to 2 August 2014 through contact with the Trials' Search Co-ordinator using search terms relevant to this review.|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|3|-2|-2|-2|0|0.09864489734172821|0.0|0.06818181818181818
ID-article0-1-5-0-0-0-2|UID|article0-1-5-0|We searched the Cochrane Renal Group's Specialised Register to 2 August 2014 through contact with the Trials' Search Co-ordinator using search terms relevant to this review.|article0-0-0-2|The aim of this review is to compare these two types of treatment.|3|-2|-2|-2|0|0.34235718846321106|0.0|0.12121212121212122
ID-article0-1-5-0-0-0-3|UID|article0-1-5-0|We searched the Cochrane Renal Group's Specialised Register to 2 August 2014 through contact with the Trials' Search Co-ordinator using search terms relevant to this review.|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.39876556396484375|0.0015968857|0.05714285714285714
ID-article0-1-5-0-0-0-4|UID|article0-1-5-0|We searched the Cochrane Renal Group's Specialised Register to 2 August 2014 through contact with the Trials' Search Co-ordinator using search terms relevant to this review.|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|0.3506354093551636|0.0|0.07142857142857142
ID-article0-1-5-0-0-0-5|UID|article0-1-5-0|We searched the Cochrane Renal Group's Specialised Register to 2 August 2014 through contact with the Trials' Search Co-ordinator using search terms relevant to this review.|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|0.38032370805740356|0.0|0.06976744186046512
ID-article0-1-5-0-0-0-6|UID|article0-1-5-0|We searched the Cochrane Renal Group's Specialised Register to 2 August 2014 through contact with the Trials' Search Co-ordinator using search terms relevant to this review.|article0-0-0-6|Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.|3|-2|-2|-2|0|0.217213973402977|0.0|0.06382978723404255
ID-article0-1-5-0-0-0-7|UID|article0-1-5-0|We searched the Cochrane Renal Group's Specialised Register to 2 August 2014 through contact with the Trials' Search Co-ordinator using search terms relevant to this review.|article0-0-0-7|Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.|3|-2|-2|-2|0|0.3619060516357422|0.0|0.05263157894736842
ID-article0-1-6-0-0-0-0|UID|article0-1-6-0|Selection criteria|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|3|-2|-2|-2|0|-0.03706388920545578|0.0|0.0
ID-article0-1-6-0-0-0-1|UID|article0-1-6-0|Selection criteria|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|3|-2|-2|-2|0|0.005288315936923027|0.0|0.0
ID-article0-1-6-0-0-0-2|UID|article0-1-6-0|Selection criteria|article0-0-0-2|The aim of this review is to compare these two types of treatment.|3|-2|-2|-2|0|0.1763949692249298|0.0|0.0
ID-article0-1-6-0-0-0-3|UID|article0-1-6-0|Selection criteria|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.1960083544254303|0.0|0.0
ID-article0-1-6-0-0-0-4|UID|article0-1-6-0|Selection criteria|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|0.24855956435203552|0.0|0.0
ID-article0-1-6-0-0-0-5|UID|article0-1-6-0|Selection criteria|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|0.11194244772195816|0.0|0.0
ID-article0-1-6-0-0-0-6|UID|article0-1-6-0|Selection criteria|article0-0-0-6|Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.|3|-2|-2|-2|0|0.10256844013929367|0.0|0.0
ID-article0-1-6-0-0-0-7|UID|article0-1-6-0|Selection criteria|article0-0-0-7|Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.|3|-2|-2|-2|0|0.06072315201163292|0.0|0.0
ID-article0-1-7-0-0-0-0|UID|article0-1-7-0|Randomised controlled trials (RCTs) and quasi-RCTs comparing aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|3|-2|-2|-2|0|0.46761077642440796|0.0|0.06896551724137931
ID-article0-1-7-0-0-0-1|UID|article0-1-7-0|Randomised controlled trials (RCTs) and quasi-RCTs comparing aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|3|-2|-2|-2|0|0.5343487858772278|0.0|0.05555555555555555
ID-article0-1-7-0-0-0-2|UID|article0-1-7-0|Randomised controlled trials (RCTs) and quasi-RCTs comparing aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-2|The aim of this review is to compare these two types of treatment.|3|-2|-2|-2|0|0.36446613073349|0.0|0.07692307692307693
ID-article0-1-7-0-0-0-3|UID|article0-1-7-0|Randomised controlled trials (RCTs) and quasi-RCTs comparing aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.14288169145584106|0.0|0.0
ID-article0-1-7-0-0-0-4|UID|article0-1-7-0|Randomised controlled trials (RCTs) and quasi-RCTs comparing aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|0.21107403934001923|0.0|0.09090909090909091
ID-article0-1-7-0-0-0-5|UID|article0-1-7-0|Randomised controlled trials (RCTs) and quasi-RCTs comparing aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|0.3522210121154785|0.0|0.05714285714285714
ID-article0-1-7-0-0-0-6|UID|article0-1-7-0|Randomised controlled trials (RCTs) and quasi-RCTs comparing aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-6|Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.|3|-2|-2|-2|0|0.4276524484157562|0.27072608|0.10810810810810811
ID-article0-1-7-0-0-0-7|UID|article0-1-7-0|Randomised controlled trials (RCTs) and quasi-RCTs comparing aspiration and sclerotherapy versus hydrocoelectomy for the management of hydrocoeles.|article0-0-0-7|Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.|3|-2|-2|-2|0|0.23578831553459167|0.0|0.0625
ID-article0-1-8-0-0-0-0|UID|article0-1-8-0|Data collection and analysis|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|3|-2|-2|-2|0|-0.024922512471675873|0.44923395|0.05555555555555555
ID-article0-1-8-0-0-0-1|UID|article0-1-8-0|Data collection and analysis|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|3|-2|-2|-2|0|-0.0451110303401947|0.0|0.0
ID-article0-1-8-0-0-0-2|UID|article0-1-8-0|Data collection and analysis|article0-0-0-2|The aim of this review is to compare these two types of treatment.|3|-2|-2|-2|0|0.08500854671001434|0.0|0.0
ID-article0-1-8-0-0-0-3|UID|article0-1-8-0|Data collection and analysis|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.312603235244751|0.0|0.0
ID-article0-1-8-0-0-0-4|UID|article0-1-8-0|Data collection and analysis|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|0.19307966530323029|0.0|0.043478260869565216
ID-article0-1-8-0-0-0-5|UID|article0-1-8-0|Data collection and analysis|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|0.06511977314949036|0.0|0.041666666666666664
ID-article0-1-8-0-0-0-6|UID|article0-1-8-0|Data collection and analysis|article0-0-0-6|Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.|3|-2|-2|-2|0|0.007639280520379543|0.0|0.03571428571428571
ID-article0-1-8-0-0-0-7|UID|article0-1-8-0|Data collection and analysis|article0-0-0-7|Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.|3|-2|-2|-2|0|0.0886850655078888|0.0|0.02631578947368421
ID-article0-1-9-0-0-0-0|UID|article0-1-9-0|Two authors independently extracted data and assessed risk of bias in the included studies.|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|3|-2|-2|-2|0|0.017652124166488647|0.0|0.03571428571428571
ID-article0-1-9-0-0-0-1|UID|article0-1-9-0|Two authors independently extracted data and assessed risk of bias in the included studies.|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|3|-2|-2|-2|0|-0.00013801082968711853|0.0|0.058823529411764705
ID-article0-1-9-0-0-0-2|UID|article0-1-9-0|Two authors independently extracted data and assessed risk of bias in the included studies.|article0-0-0-2|The aim of this review is to compare these two types of treatment.|3|-2|-2|-2|0|0.2957626283168793|0.0|0.13043478260869565
ID-article0-1-9-0-0-0-3|UID|article0-1-9-0|Two authors independently extracted data and assessed risk of bias in the included studies.|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.46580970287323|0.0|0.04
ID-article0-1-9-0-0-0-4|UID|article0-1-9-0|Two authors independently extracted data and assessed risk of bias in the included studies.|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|0.5879340767860413|0.0|0.13333333333333333
ID-article0-1-9-0-0-0-5|UID|article0-1-9-0|Two authors independently extracted data and assessed risk of bias in the included studies.|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|0.33465877175331116|0.0|0.09375
ID-article0-1-9-0-0-0-6|UID|article0-1-9-0|Two authors independently extracted data and assessed risk of bias in the included studies.|article0-0-0-6|Postoperative complications such as infection and fever, as well as cost and time to work resumption were less in the aspiration and sclerotherapy group; however the recurrence rate was higher.|3|-2|-2|-2|0|0.16029851138591766|0.0|0.08333333333333333
ID-article0-1-9-0-0-0-7|UID|article0-1-9-0|Two authors independently extracted data and assessed risk of bias in the included studies.|article0-0-0-7|Cure at short-term follow-up was similar between the groups, however there is significant uncertainty in this result which may be as a result of the age of one of the studies and the different agent used compared to the other studies.|3|-2|-2|-2|0|0.3763684332370758|0.027872236|0.11363636363636363
ID-article0-1-9-1-0-0-0|UID|article0-1-9-1|Random effects meta-analyses were performed using relative risk (RR) for dichotomous outcomes and mean differences (MD) for continuous outcomes, with 95% confidence intervals (CI).|article0-0-0-0|Hydrocoeles are common cystic scrotal abnormalities, described as a fluid-filled collection around the testicles.|3|-2|-2|-2|0|-0.021748783066868782|0.0|0.0
ID-article0-1-9-1-0-0-1|UID|article0-1-9-1|Random effects meta-analyses were performed using relative risk (RR) for dichotomous outcomes and mean differences (MD) for continuous outcomes, with 95% confidence intervals (CI).|article0-0-0-1|Hydrocoele can be treated with drainage of the fluid along with an injection of a chemical around the testicle to prevent recurrence, or with open surgery.|3|-2|-2|-2|0|0.029938964173197746|0.0|0.022727272727272728
ID-article0-1-9-1-0-0-2|UID|article0-1-9-1|Random effects meta-analyses were performed using relative risk (RR) for dichotomous outcomes and mean differences (MD) for continuous outcomes, with 95% confidence intervals (CI).|article0-0-0-2|The aim of this review is to compare these two types of treatment.|3|-2|-2|-2|0|0.29091018438339233|0.0|0.0
ID-article0-1-9-1-0-0-3|UID|article0-1-9-1|Random effects meta-analyses were performed using relative risk (RR) for dichotomous outcomes and mean differences (MD) for continuous outcomes, with 95% confidence intervals (CI).|article0-0-0-3|We found four small studies were identified after an extensive literature search.|3|-2|-2|-2|0|0.24336382746696472|0.0|0.029411764705882353
ID-article0-1-9-1-0-0-4|UID|article0-1-9-1|Random effects meta-analyses were performed using relative risk (RR) for dichotomous outcomes and mean differences (MD) for continuous outcomes, with 95% confidence intervals (CI).|article0-0-0-4|Due to limited information about the design of the studies, and the small number of patients enrolled, the results should be interpreted with caution.|3|-2|-2|-2|0|0.4345020353794098|0.0|0.04878048780487805
ID-article0-1-9-1-0-0-5|UID|article0-1-9-1|Random effects meta-analyses were performed using relative risk (RR) for dichotomous outcomes and mean differences (MD) for continuous outcomes, with 95% confidence intervals (CI).|article0-0-0-5|Meta-analysis showed lower rates of recurrence in the surgery group, however there was insufficient evidence to draw a strong conclusion.|3|-2|-2|-2|0|0.3825159966945648|0.0|0.023255813953488372
